stock_code,stock_name,total_share,float_share,total_market_value,float_market_value,industry,listing_date,source,download_date
000017,深中华A,689184933.0,440821951.0,3473492062.32,2221742633.04,饰品,19920331,stock_individual_info_em,20260608
000036,华联控股,1403818725.0,1402981231.0,6948902688.75,6944757093.45,房地产开发,19940617,stock_individual_info_em,20260608
000037,深南电A,602762596.0,338908150.0,6172288983.04,3470419456.0,电力,19940701,stock_individual_info_em,20260608
000042,中洲控股,664831139.0,664102477.0,6448862048.299999,6441794026.9,房地产开发,19940921,stock_individual_info_em,20260608
000045,深纺织Ａ,506521849.0,457021849.0,5500827280.139999,4963257280.139999,光学光电子,19940815,stock_individual_info_em,20260608
000068,华控赛格,1006671464.0,1006671464.0,3946152138.88,3946152138.88,环境治理,19970611,stock_individual_info_em,20260608
000070,特发信息,868392949.0,856727041.0,15908958825.68,15695239391.12,通信设备,20000511,stock_individual_info_em,20260608
000090,天健集团,1868545434.0,1868431434.0,6278312658.24,6277929618.24,房地产开发,19990721,stock_individual_info_em,20260608
000096,广聚能源,528000000.0,510848000.0,4155360000.0,4020373760.0,炼化及贸易,20000724,stock_individual_info_em,20260608
000151,中成股份,350906286.0,307934695.0,4726707672.42,4147880341.65,贸易Ⅱ,20000906,stock_individual_info_em,20260608
000153,丰原药业,464685522.0,458868497.0,2523242384.46,2491655938.71,化学制药,20000920,stock_individual_info_em,20260608
000159,国际实业,480685993.0,480668493.0,3124458954.5,3124345204.5,炼化及贸易,20000926,stock_individual_info_em,20260608
000404,长虹华意,695995979.0,692728247.0,5574927791.79,5548753258.47,家电零部件Ⅱ,19960619,stock_individual_info_em,20260608
000407,胜利股份,880084656.0,875774762.0,3573143703.3599997,3555645533.72,燃气Ⅱ,19960703,stock_individual_info_em,20260608
000409,云鼎科技,677750505.0,590483384.0,6343744726.799999,5526924474.24,IT服务Ⅱ,19960627,stock_individual_info_em,20260608
000417,合百集团,779884200.0,779027451.0,5576172030.0,5570046274.650001,一般零售,19960812,stock_individual_info_em,20260608
000541,佛山照明,1535778230.0,1230494822.0,7402451068.6,5930985042.04,照明设备Ⅱ,19931123,stock_individual_info_em,20260608
000548,湖南投资,499215811.0,499215811.0,2286408414.38,2286408414.38,铁路公路,19931220,stock_individual_info_em,20260608
000551,创元科技,484733046.0,484547202.0,6917140566.42,6914488572.54,环保设备Ⅱ,19940106,stock_individual_info_em,20260608
000554,泰山石油,480793318.0,362653197.0,3211699364.24,2422523355.96,炼化及贸易,19931215,stock_individual_info_em,20260608
000558,天府文旅,1289223949.0,1288684608.0,4486499342.5199995,4484622435.84,旅游及景区,19940509,stock_individual_info_em,20260608
000560,我爱我家,2355500851.0,2338436194.0,5794532093.46,5752553037.24,房地产服务,19940202,stock_individual_info_em,20260608
000561,烽火电子,864018238.0,776247360.0,6739342256.4,6054729408.0,航空装备Ⅱ,19940509,stock_individual_info_em,20260608
000565,渝三峡Ａ,433592220.0,433592220.0,2735966908.2,2735966908.2,化学制品,19940408,stock_individual_info_em,20260608
000570,苏常柴Ａ,705692507.0,555692507.0,3740170287.1,2945170287.1,汽车零部件,19940701,stock_individual_info_em,20260608
000576,甘化科工,436418214.0,433815261.0,3050563315.86,3032368674.39,地面兵装Ⅱ,19940907,stock_individual_info_em,20260608
000592,平潭发展,1931780892.0,1915092449.0,15029255339.76,14899419253.220001,林业Ⅱ,19960327,stock_individual_info_em,20260608
000601,韶能股份,1064343324.0,1049618524.0,8046435529.44,7935116041.44,电力,19960830,stock_individual_info_em,20260608
000607,华媒控股,1017698410.0,885033444.0,3500882530.4,3044515047.36,广告营销,19960830,stock_individual_info_em,20260608
000635,英 力 特,394133623.0,366819816.0,2624929929.18,2443019974.56,化学原料,19961120,stock_individual_info_em,20260608
000652,泰达股份,1459333963.0,1458222470.0,5151448889.389999,5147525319.099999,综合Ⅱ,19961128,stock_individual_info_em,20260608
000655,金岭矿业,595340230.0,595340230.0,4089987380.1,4089987380.1,冶钢原料,19961128,stock_individual_info_em,20260608
000659,珠海中富,1285702520.0,1285702520.0,4589957996.4,4589957996.4,包装印刷,19961203,stock_individual_info_em,20260608
000670,盈方微,844725255.0,821862855.0,7636316305.199999,7429640209.199999,其他电子Ⅱ,19961217,stock_individual_info_em,20260608
000798,中水渔业,365858712.0,365836212.0,2875649476.32,2875472626.32,渔业,19980212,stock_individual_info_em,20260608
000803,山高环能,466296153.0,459787780.0,3548513724.33,3498985005.8,电力,19980303,stock_individual_info_em,20260608
000812,陕西金叶,756331187.0,756129681.0,2692539025.7200003,2691821664.36,包装印刷,19980623,stock_individual_info_em,20260608
000815,美利云,695263035.0,695263035.0,10401135003.6,10401135003.6,IT服务Ⅱ,19980609,stock_individual_info_em,20260608
000816,智慧农业,1447013318.0,1439509072.0,3675413827.7200003,3656353042.88,汽车零部件,19970818,stock_individual_info_em,20260608
000819,岳阳兴长,369504506.0,365532306.0,5010481101.360001,4956618069.360001,炼化及贸易,19970625,stock_individual_info_em,20260608
000822,山东海化,895091926.0,895091926.0,4054766424.78,4054766424.78,化学原料,19980703,stock_individual_info_em,20260608
000823,超声电子,564557115.0,564534371.0,9631344381.9,9630956369.26,元件,19971008,stock_individual_info_em,20260608
000850,华茂股份,943665009.0,943375363.0,3595363684.29,3594260133.03,纺织制造,19981007,stock_individual_info_em,20260608
000852,石化机械,955770136.0,950258873.0,5400101268.400001,5368962632.450001,专用设备,19981126,stock_individual_info_em,20260608
000859,国风新材,895976271.0,895925271.0,9345032506.53,9344500576.53,塑料,19981119,stock_individual_info_em,20260608
000862,银星能源,917954696.0,627967088.0,5792294131.759999,3962472325.2799997,电力,19980915,stock_individual_info_em,20260608
000863,三湘印象,1180699560.0,1163215768.0,5419410980.4,5339160375.12,房地产开发,19970925,stock_individual_info_em,20260608
000868,安凯客车,939514735.0,733248824.0,3438623930.1,2683690695.84,商用车,19970725,stock_individual_info_em,20260608
000882,华联股份,2737351947.0,2735214266.0,3996533842.62,3993412828.36,一般零售,19980616,stock_individual_info_em,20260608
000886,海南高速,988828300.0,977827648.0,4331067954.0,4282885098.24,铁路公路,19980123,stock_individual_info_em,20260608
000888,峨眉山Ａ,526913102.0,526913102.0,5121595351.440001,5121595351.440001,旅游及景区,19971021,stock_individual_info_em,20260608
000892,欢瑞世纪,980980473.0,710836454.0,3639437554.83,2637203244.34,影视院线,19990115,stock_individual_info_em,20260608
000897,津滨发展,1617272234.0,1617240634.0,3121335411.62,3121274423.62,房地产开发,19990422,stock_individual_info_em,20260608
000900,现代投资,1517828334.0,1517738334.0,5585608269.12,5585277069.12,铁路公路,19990128,stock_individual_info_em,20260608
000905,厦门港务,1542307913.0,741807597.0,13340963447.45,6416635714.05,航运港口,19990429,stock_individual_info_em,20260608
000906,浙商中拓,709663179.0,701239764.0,3988307065.98,3940967473.6800003,物流,19990707,stock_individual_info_em,20260608
000912,泸天化,1568000000.0,1568000000.0,5691840000.0,5691840000.0,农化制品,19990603,stock_individual_info_em,20260608
001207,联科科技,303137744.0,292622092.0,5344318426.719999,5158927481.96,橡胶,20210623,stock_individual_info_em,20260608
001212,中旗新材,200959624.0,173848724.0,9768647322.64,8450786473.64,装修建材,20210823,stock_individual_info_em,20260608
001215,千味央厨,97160446.0,96901642.0,3754279633.44,3744279446.88,食品加工,20210906,stock_individual_info_em,20260608
001216,华瓷股份,291958338.0,245553199.0,4534112989.139999,3813441180.47,家居用品,20211019,stock_individual_info_em,20260608
001217,华尔泰,331870000.0,328172337.0,3096347100.0,3061847904.21,化学原料,20210929,stock_individual_info_em,20260608
001219,青岛食品,194983750.0,190122071.0,2540638262.5,2477290585.13,休闲食品,20211021,stock_individual_info_em,20260608
001222,源飞宠物,190890000.0,112998685.0,2804174100.0,1659950682.6499999,文娱用品,20220818,stock_individual_info_em,20260608
001223,欧克科技,130692800.0,69834800.0,5815829600.0,3107648600.0,自动化设备,20221212,stock_individual_info_em,20260608
001229,魅视科技,102451500.0,52679432.0,3839882219.9999995,1974425111.36,计算机设备,20220808,stock_individual_info_em,20260608
001239,永达股份,240000000.0,114000000.0,3072000000.0,1459200000.0,工程机械,20231212,stock_individual_info_em,20260608
001256,炜冈科技,142612558.0,106912558.0,3392752754.8199997,2543449754.8199997,专用设备,20221205,stock_individual_info_em,20260608
001258,立新能源,933333334.0,933323584.0,8437333339.36,8437245199.36,电力,20220727,stock_individual_info_em,20260608
001266,宏英智能,103651662.0,58152822.0,4627010191.68,2595941974.08,自动化设备,20220228,stock_individual_info_em,20260608
001267,汇绿生态,785164678.0,608556558.0,38504475809.12,29843613604.32,通信设备,20211117,stock_individual_info_em,20260608
001277,速达股份,76000000.0,45549489.0,2321800000.0,1391536888.95,专用设备,20240903,stock_individual_info_em,20260608
001279,强邦新材,160000000.0,40000000.0,4227200000.0000005,1056800000.0000001,包装印刷,20241011,stock_individual_info_em,20260608
001282,三联锻造,222185600.0,152727200.0,3866029439.9999995,2657453280.0,汽车零部件,20230524,stock_individual_info_em,20260608
001283,豪鹏科技,129680120.0,103398898.0,6448992367.599999,5142027197.54,电池,20220905,stock_individual_info_em,20260608
001288,运机集团,234881305.0,151916309.0,5627756067.8,3639914763.6400003,专用设备,20211101,stock_individual_info_em,20260608
001296,长江材料,149591086.0,77096670.0,2810816505.94,1448646429.3,非金属材料Ⅱ,20211224,stock_individual_info_em,20260608
001400,江顺科技,84000000.0,46231500.0,10085040000.0,5550553890.0,专用设备,20250424,stock_individual_info_em,20260608
001896,豫能控股,1525781330.0,1525781330.0,31522642277.8,31522642277.8,电力,19980122,stock_individual_info_em,20260608
002009,天奇股份,402233207.0,354047569.0,9138738463.039999,8043960767.679999,专用设备,20040629,stock_individual_info_em,20260608
002016,世荣兆业,809095632.0,809095632.0,3867477120.96,3867477120.96,房地产开发,20040708,stock_individual_info_em,20260608
002021,中捷资源,1195477323.0,1195437891.0,2988693307.5,2988594727.5,专用设备,20040715,stock_individual_info_em,20260608
002022,科华生物,514350669.0,514277544.0,2618044905.21,2617672698.96,医疗器械,20040721,stock_individual_info_em,20260608
002026,山东威达,440531939.0,440493914.0,5330436461.9,5329976359.4,通用设备,20040727,stock_individual_info_em,20260608
002029,七 匹 狼,705023537.0,665405959.0,5830544650.99,5502907280.929999,服装家纺,20040806,stock_individual_info_em,20260608
002033,丽江股份,549490711.0,549480181.0,4687155764.83,4687065943.929999,旅游及景区,20040825,stock_individual_info_em,20260608
002034,旺能环境,516701203.0,514547415.0,9352291774.300001,9313308211.5,环境治理,20040826,stock_individual_info_em,20260608
002035,华帝股份,847653618.0,782037667.0,4145026192.0199995,3824164191.6299996,厨卫电器,20040901,stock_individual_info_em,20260608
002037,保利联合,483883566.0,483883566.0,3329118934.08,3329118934.08,化学制品,20040908,stock_individual_info_em,20260608
002039,黔源电力,427558126.0,427556926.0,8944515995.92,8944490891.92,电力,20050303,stock_individual_info_em,20260608
002040,南 京 港,487946985.0,486075445.0,4147549372.5,4131641282.5,航运港口,20050325,stock_individual_info_em,20260608
002042,华孚时尚,1700681355.0,1700681355.0,6275514199.95,6275514199.95,纺织制造,20050427,stock_individual_info_em,20260608
002052,同洲电子,752439694.0,689387155.0,6794530436.82,6225166009.65,黑色家电,20060627,stock_individual_info_em,20260608
002054,德美化工,482115452.0,384012328.0,3514621645.08,2799449871.12,化学制品,20060725,stock_individual_info_em,20260608
002057,中钢天源,753883706.0,753313909.0,7305133111.139999,7299611778.21,专业服务,20060802,stock_individual_info_em,20260608
002059,云南旅游,1012434813.0,983046058.0,4454713177.200001,4325402655.200001,旅游及景区,20060810,stock_individual_info_em,20260608
002137,实益达,577504854.0,396458081.0,5578696889.64,3829785062.46,光学光电子,20070613,stock_individual_info_em,20260608
002140,东华科技,708013872.0,706998875.0,6860654419.679999,6850819098.75,专业工程,20070712,stock_individual_info_em,20260608
002146,荣盛发展,4348163851.0,3911521351.0,5478686452.26,4928516902.26,房地产开发,20070808,stock_individual_info_em,20260608
002150,正泰电源,360868803.0,358544978.0,9119154651.81,9060431594.06,通用设备,20070810,stock_individual_info_em,20260608
002154,报 喜 鸟,1459333729.0,1179773328.0,5633028193.94,4553925046.08,服装家纺,20070816,stock_individual_info_em,20260608
002159,三特索道,177301325.0,138472563.0,2450304311.5,1913690820.66,旅游及景区,20070817,stock_individual_info_em,20260608
002160,常铝股份,1032781167.0,1030729489.0,4265386219.71,4256912789.5699997,工业金属,20070821,stock_individual_info_em,20260608
002161,远 望 谷,739757400.0,739609350.0,4201822032.0,4200981108.0,其他电子Ⅱ,20070821,stock_individual_info_em,20260608
002162,悦心健康,919700965.0,918494121.0,3356908522.25,3352503541.65,家居用品,20070823,stock_individual_info_em,20260608
002164,宁波东力,532173689.0,479775143.0,7801666280.74,7033503596.38,通用设备,20070823,stock_individual_info_em,20260608
002165,红 宝 丽,735269837.0,727584196.0,4896897114.42,4845710745.36,化学制品,20070913,stock_individual_info_em,20260608
002166,莱茵生物,741609425.0,738585425.0,5517574122.0,5495075562.0,化学制品,20070913,stock_individual_info_em,20260608
002167,东方锆业,774673300.0,758712963.0,9791870512.0,9590131852.32,小金属,20070913,stock_individual_info_em,20260608
002169,智光电气,782704094.0,758673967.0,11912756310.68,11547017777.74,电网设备,20070919,stock_individual_info_em,20260608
002172,澳洋健康,765732360.0,765140730.0,2427371581.2,2425496114.1,医疗服务,20070921,stock_individual_info_em,20260608
002177,御银股份,761191294.0,674918963.0,4688938371.04,4157500812.08,计算机设备,20071101,stock_individual_info_em,20260608
002178,延华智能,712153001.0,711783158.0,3703195605.2000003,3701272421.6,软件开发,20071101,stock_individual_info_em,20260608
002181,粤 传 媒,1161058174.0,1134537104.0,18089286350.920002,17676088080.32,出版,20071116,stock_individual_info_em,20260608
002184,海得控制,351908370.0,240370401.0,4043427171.3,2761855907.4900002,自动化设备,20071116,stock_individual_info_em,20260608
002186,全 聚 德,306921588.0,306801588.0,2786848019.04,2785758419.04,酒店餐饮,20071120,stock_individual_info_em,20260608
002187,广百股份,700894633.0,700894633.0,3770813125.54,3770813125.54,一般零售,20071122,stock_individual_info_em,20260608
002189,中光学,261199273.0,261159921.0,5114281765.339999,5113511253.179999,军工电子Ⅱ,20071203,stock_individual_info_em,20260608
002191,劲嘉股份,1413978834.0,1402715536.0,5330700204.18,5288237570.72,包装印刷,20071205,stock_individual_info_em,20260608
002196,方正电机,495871930.0,488410407.0,6892619827.0,6788904657.3,电机Ⅱ,20071212,stock_individual_info_em,20260608
002206,海 利 得,1162207220.0,1056970986.0,5938878894.200001,5401121738.46,化学纤维,20080123,stock_individual_info_em,20260608
002278,神开股份,388617914.0,332752846.0,3485902688.5800004,2984793028.6200004,专用设备,20090811,stock_individual_info_em,20260608
002282,博深股份,526838348.0,505004688.0,3213713922.7999997,3080528596.7999997,通用设备,20090821,stock_individual_info_em,20260608
002283,天润工业,1139457178.0,1002826529.0,11565490356.7,10178689269.35,汽车零部件,20090821,stock_individual_info_em,20260608
002284,亚太股份,739100348.0,732188348.0,8019238775.8,7944243575.8,汽车零部件,20090828,stock_individual_info_em,20260608
002285,世联行,1992829038.0,1975238451.0,4822646271.96,4780077051.42,房地产服务,20090828,stock_individual_info_em,20260608
002286,保龄宝,380567380.0,369689568.0,3356604291.6,3260661989.76,农产品加工,20090828,stock_individual_info_em,20260608
002290,禾盛新材,248112330.0,247196055.0,19265922424.5,19194773670.75,家电零部件Ⅱ,20090903,stock_individual_info_em,20260608
002293,罗莱生活,833842481.0,826989438.0,7971534118.360001,7906019027.280001,服装家纺,20090910,stock_individual_info_em,20260608
002296,辉煌科技,389580420.0,347324435.0,3778930073.9999995,3369047019.4999995,通信设备,20090929,stock_individual_info_em,20260608
002297,博云新材,573104819.0,573104819.0,11439172187.24,11439172187.24,航空装备Ⅱ,20090929,stock_individual_info_em,20260608
002298,中电鑫龙,740110901.0,660756987.0,6046706061.17,5398384583.79,电网设备,20090929,stock_individual_info_em,20260608
002300,太阳电缆,722333700.0,722295011.0,5583639501.0,5583340435.030001,电网设备,20091021,stock_individual_info_em,20260608
002301,齐心集团,721307933.0,717990223.0,5236695593.58,5212609018.98,文娱用品,20091021,stock_individual_info_em,20260608
002303,美盈森,1531323685.0,966881057.0,4823669607.75,3045675329.5499997,包装印刷,20091103,stock_individual_info_em,20260608
002314,南山控股,2707782513.0,1338324039.0,7148545834.320001,3533175462.96,房地产开发,20091203,stock_individual_info_em,20260608
002342,巨力索具,960000000.0,954690000.0,10886400000.0,10826184600.0,通用设备,20100126,stock_individual_info_em,20260608
002363,隆基机械,416895301.0,415758167.0,2830719093.79,2822997953.93,汽车零部件,20100305,stock_individual_info_em,20260608
002376,新北洋,810562541.0,787133405.0,4984959627.150001,4840870440.75,计算机设备,20100323,stock_individual_info_em,20260608
